job_title,job_url
Conducteur de ligne  H\/F,"\""https:\/\/www.lejobadequat.com\/emplois\/261390-conducteur-de-ligne-f-h-fr\"""
Ma\u00e7on coffreur  H\/F,"\""https:\/\/www.lejobadequat.com\/emplois\/261389-macon-coffreur-h-f-fr\"""
D\u00e9panneur vmc  H\/F,"\""https:\/\/www.lejobadequat.com\/emplois\/261388-depanneur-vmc-h-f-fr\"""
Couvreur,"\""https:\/\/www.lejobadequat.com\/emplois\/261387-couvreur-charpentier-f-h-fr\"""
Ma\u00e7on n3  H\/F,"\""https:\/\/www.lejobadequat.com\/emplois\/261386-macon-n3-h-f-fr\"""
M\u00e9canicien  H\/F,"\""https:\/\/www.lejobadequat.com\/emplois\/261385-mecanicien-h-f-fr\"""
Pr\u00e9parateur de commande  H\/F,"\""https:\/\/www.lejobadequat.com\/emplois\/261384-preparateur-de-commande-h-f-fr\"""
Nacelliste  H\/F,"\""https:\/\/www.lejobadequat.com\/emplois\/261383-nacelliste-h-f-fr\"""
Manutentionnaire  H\/F,"\""https:\/\/www.lejobadequat.com\/emplois\/261382-manutentionnaire-h-f-fr\"""
Agent logistique  H\/F,"\""https:\/\/www.lejobadequat.com\/emplois\/261381-agent-logistique-h-f-fr\"""
Ma\u00e7on n2,"\""https:\/\/www.lejobadequat.com\/emplois\/261379-macon-n2-n3-h-f-fr\"""
Cuisinier  H\/F,"\""https:\/\/www.lejobadequat.com\/emplois\/261378-cuisinier-f-h-fr\"""
